AÑO,TITULO,FECHA_ELECCIONES,DISTRITO,SECCION,MESA,PARTIDO,NUM_VOTOS,PORCENTAJE
"2023","Elecciones Generales","23/07/23","1","10","A","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","10","A","AEEV","2",",48661800486618004866180048661800486618"
"2023","Elecciones Generales","23/07/23","1","10","A","RC","2",",48661800486618004866180048661800486618"
"2023","Elecciones Generales","23/07/23","1","10","A","SUMAR","74","18,00486618004866180048661800486618004866"
"2023","Elecciones Generales","23/07/23","1","10","B","Electores","571","100"
"2023","Elecciones Generales","23/07/23","1","10","B","Abstenciones","129","22,59194395796847635726795096322241681261"
"2023","Elecciones Generales","23/07/23","1","10","B","Votantes","442","77,40805604203152364273204903677758318739"
"2023","Elecciones Generales","23/07/23","1","10","B","Blancos","2",",4524886877828054298642533936651583710407"
"2023","Elecciones Generales","23/07/23","1","10","B","Validos","435","98,41628959276018099547511312217194570136"
"2023","Elecciones Generales","23/07/23","1","10","B","Nulos","7","1,58371040723981900452488687782805429864"
"2023","Elecciones Generales","23/07/23","1","10","B","PSOE","103","23,3031674208144796380090497737556561086"
"2023","Elecciones Generales","23/07/23","1","10","B","FO","2",",4524886877828054298642533936651583710407"
"2023","Elecciones Generales","23/07/23","1","10","B","PP","196","44,34389140271493212669683257918552036199"
"2023","Elecciones Generales","23/07/23","1","10","B","PACMA","2",",4524886877828054298642533936651583710407"
"2023","Elecciones Generales","23/07/23","1","10","B","PCTE","2",",4524886877828054298642533936651583710407"
"2023","Elecciones Generales","23/07/23","1","10","B","PUM J","2",",4524886877828054298642533936651583710407"
"2023","Elecciones Generales","23/07/23","1","10","B","VOX","61","13,80090497737556561085972850678733031674"
"2023","Elecciones Generales","23/07/23","1","10","B","PUEDE","1",",2262443438914027149321266968325791855204"
"2023","Elecciones Generales","23/07/23","1","10","B","AEEV","2",",4524886877828054298642533936651583710407"
"2023","Elecciones Generales","23/07/23","1","10","B","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","10","B","SUMAR","62","14,02714932126696832579185520361990950226"
"2023","Elecciones Generales","23/07/23","1","11","U","Electores","720","100"
"2023","Elecciones Generales","23/07/23","1","11","U","Abstenciones","167","23,19444444444444444444444444444444444444"
"2023","Elecciones Generales","23/07/23","1","11","U","Votantes","553","76,80555555555555555555555555555555555556"
"2023","Elecciones Generales","23/07/23","1","11","U","Blancos","7","1,2658227848101265822784810126582278481"
"2023","Elecciones Generales","23/07/23","1","11","U","Validos","548","99,09584086799276672694394213381555153707"
"2023","Elecciones Generales","23/07/23","1","11","U","Nulos","5",",9041591320072332730560578661844484629295"
"2023","Elecciones Generales","23/07/23","1","11","U","PSOE","133","24,05063291139240506329113924050632911392"
"2023","Elecciones Generales","23/07/23","1","11","U","FO","1",",1808318264014466546112115732368896925859"
"2023","Elecciones Generales","23/07/23","1","11","U","PP","256","46,29294755877034358047016274864376130199"
"2023","Elecciones Generales","23/07/23","1","11","U","PACMA","2",",3616636528028933092224231464737793851718"
"2023","Elecciones Generales","23/07/23","1","11","U","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","11","U","PUM J","1",",1808318264014466546112115732368896925859"
"2023","Elecciones Generales","23/07/23","1","11","U","VOX","66","11,93490054249547920433996383363471971067"
"2023","Elecciones Generales","23/07/23","1","11","U","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","11","U","AEEV","4",",7233273056057866184448462929475587703436"
"2023","Elecciones Generales","23/07/23","1","11","U","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","11","U","SUMAR","78","14,1048824593128390596745027124773960217"
"2023","Elecciones Generales","23/07/23","1","12","A","Electores","587","100"
"2023","Elecciones Generales","23/07/23","1","12","A","Abstenciones","145","24,70187393526405451448040885860306643952"
"2023","Elecciones Generales","23/07/23","1","12","A","Votantes","442","75,29812606473594548551959114139693356048"
"2023","Elecciones Generales","23/07/23","1","12","A","Blancos","2",",4524886877828054298642533936651583710407"
"2023","Elecciones Generales","23/07/23","1","12","A","Validos","439","99,32126696832579185520361990950226244344"
